Angle_deg,Normalized_Gain_dB_Approx
0,-1.210955889
0.732226329,-1.210955854
1.822233182,-1.184104304
2.924575892,-1.289350468
4.054842696,-1.38179491
5.322690712,-1.405571635
6.789208391,-1.605013782
7.902564363,-1.852201481
9.13533442,-2.002969896
10.32609832,-2.177927485
11.62700074,-2.585834547
12.77162516,-3.013472131
13.84927983,-3.453738779
14.95053896,-3.868250475
15.78182563,-4.133594024
17.38053053,-4.647405947
18.55620895,-5.121495266
19.56192934,-5.611068589
20.09109602,-6.061901814
21.06164147,-6.411567141
21.62411071,-6.853985631
22.18142537,-7.148584784
22.91805407,-7.553761772
23.6719425,-8.067531699
24.58146541,-8.597273819
25.29798107,-9.109777279
25.57662904,-9.315604474
25.90389635,-9.43605422
26.592869,-9.849159996
27.19396717,-10.43775342
27.81973739,-11.02300258
28.10202831,-11.55321834
28.63605811,-12.01756405
29.18831095,-12.47942965
29.72569986,-13.10994096
30.60973599,-13.78230264
31.24690572,-14.55376677
32.00037061,-15.48543828
32.66699699,-16.22328258
33.04325897,-16.8476497
33.79616761,-17.36380323
33.91947976,-18.04053067
34.66893942,-18.7578971
34.89796476,-19.22777432
35.30747198,-20.09299939
36.3669961,-20.94424254
36.46611899,-21.54532868
36.7865904,-22.68146684
37.14345212,-23.35854174
37.65333189,-24.09181905
37.82057469,-24.95038446
38.4394188,-26.0826011
38.46740523,-26.78458548
38.91126257,-27.4890247
39.11937014,-28.29355563
40.102452,-29.05742596
40.1453943,-30.42466134
40.58611927,-31.40231862
41.77020091,-29.56089925
42.96683617,-28.36561352
43.84247218,-27.69494647
43.88373943,-26.78243189
44.337865,-25.59503693
45.02952049,-24.77851125
45.25458216,-23.88518815
46.20126032,-22.81155276
46.74861523,-22.12966269
47.89497124,-21.32586221
49.11301213,-20.66647757
50.03604009,-20.22491352
51.40085248,-19.92214275
52.66260185,-19.51121936
54.43647333,-19.37865148
55.95905383,-19.06100049
57.73898395,-19.03414811
59.6217874,-19.17153922
61.86891904,-19.40412919
63.58869519,-19.89795958
65.31735404,-19.97856305
66.21177393,-20.30110316
67.92912451,-20.63232991
69.09020058,-21.09779209
70.85377568,-21.53820313
72.50790045,-22.42083339
74.16088034,-22.81185909
74.96434973,-23.2933035
77.14143174,-23.83671089
78.28999349,-24.30696782
78.84135907,-24.92717001
80.13417517,-25.59332746
81.96341225,-26.4337527
83.80649438,-27.18751554
84.65966951,-27.61972323
85.94310274,-28.42104184
86.94969673,-28.80342938
88.61113872,-29.50218438
88.65355648,-30.06712961
91.26891054,-31.01010129
93.8091214,-31.83009527
96.29867432,-32.85296368
97.30376032,-33.68529161
99.42443728,-34.20339411
101.4384317,-34.68185041
103.5896305,-35.21493499
105.6985356,-35.79173113
108.8294286,-36.36042548
111.7935229,-36.89394151
119.5048358,-38.30016806
120.9983297,-38.30016806
131.1336871,-39.16625213
134.173658,-37.39639119
134.4519609,-36.7684418
136.119598,-36.25328476
138.5256264,-35.72289959
139.1741389,-35.12891681
141.74754,-34.54713474
143.7170295,-33.86792498
143.9765372,-33.25051803
144.2218038,-33.4580531
146.4384317,-32.63513814
150.2713756,-32.01282803
150.8186962,-32.10864702
153.9725343,-31.73454158
156.0628209,-31.74313486
157.2249589,-32.04077407
160.7175173,-32.43797237
164.5876708,-32.82387872
170.1870894,-32.72282741
175.6793071,-32.44141312
180.3142302,-32.06110316
183.4639054,-31.05819245
186.5285426,-30.02279465
190.2277378,-29.12263771
194.2832331,-28.75060583
198.3397759,-28.71270239
200.419393,-29.19709974
202.2945066,-29.46520803
205.4478701,-30.37533629
206.3322044,-31.34612628
207.7311952,-31.86347882
208.6438046,-32.74077307
210.026985,-33.7855611
210.7839164,-34.65957771
212.4632819,-35.28759478
215.0877166,-35.85644328
221.4033372,-37.35688946
222.2918283,-38.39875865
223.0406459,-36.06392975
223.4571555,-34.99519948
224.5601178,-33.71967312
225.3852737,-33.16660154
226.0345345,-32.23310406
226.598362,-31.50558851
227.6970383,-30.66833562
229.2640258,-29.92285906
229.9848954,-29.0793367
231.6310338,-28.20938748
233.7594239,-27.62110332
236.0499224,-26.89554457
237.7662288,-26.27693396
240.6232109,-25.98925039
243.1032447,-26.12778617
245.9586266,-26.4328849
249.9531822,-26.94020918
251.5075416,-27.63235299
253.5043162,-28.17436038
254.8939961,-28.84523163
257.0368335,-29.63805494
259.2797373,-30.45971556
259.7113358,-31.32278867
260.46148,-32.42861006
261.7020988,-33.16531112
262.3496368,-33.74435368
264.5997367,-34.35799585
265.4797882,-34.97314682
269.173658,-35.63435255
270.6411944,-36.23606572
272.8258808,-34.67962113
274.1867717,-33.61702866
275.9827082,-32.54039041
276.6695156,-31.57689408
277.8691608,-30.5972173
278.8972767,-29.82175141
280.4835904,-28.91860309
281.8158103,-28.11265816
282.7274221,-27.53010397
283.7417564,-26.80531336
286.0774804,-25.83746697
287.3320221,-25.22312941
289.5299803,-24.71789158
291.7363207,-24.06585226
293.2125922,-23.64720906
295.5782172,-22.86465223
298.5917009,-22.67974586
300.4470826,-22.52507173
302.4578154,-22.67201203
304.9626314,-22.93052669
306.7193592,-23.60416366
308.9293199,-24.19451429
309.4013454,-24.91528012
311.3884915,-25.87574351
312.3948577,-27.66754911
313.565201,-28.84788425
316.1228017,-32.79608973
316.8979886,-31.82066571
317.1186879,-31.05558953
318.1475467,-30.32539486
318.3010669,-29.65454299
318.7462581,-27.97403408
319.0251876,-27.97403408
319.0724618,-27.1449659
319.4308694,-25.7397728
320.0893903,-24.88460332
320.208045,-24.24794586
320.7826182,-23.75159356
321.0607628,-23.27153785
321.2805811,-22.61720045
321.8329645,-21.75654871
322.2761199,-21.04134322
322.8312105,-20.11914975
323.3748371,-19.52821958
323.7410535,-18.77414988
324.2775946,-18.26271691
324.5912946,-17.85911147
324.8038993,-17.27007187
325.2812557,-16.75515937
