coll_time_round,Date Time(RAW),RSRP_Wo_Round,mean_AvgRsrp,Downtime,Downtime(RAW),Coverage,Coverage(RAW),serial,sensor_distance
3/7/2024 9:00,45358.625,-79.2368421052632 #,-79.2368,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 10:00,45358.66667,-79.0833333333333 #,-79.0833,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 11:00,45358.70833,-79.0333333333333 #,-79.0333,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 12:00,45358.75,-78.9333333333333 #,-78.9333,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 13:00,45358.79167,-79.0333333333333 #,-79.0333,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 14:00,45358.83333,-79.0666666666667 #,-79.0667,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 15:00,45358.875,-79.15 #,-79.15,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 16:00,45358.91667,-82 #,-82,0%,0,80%,8000,SN1001000878869,0.322195995
3/7/2024 16:00,45358.91667,-79.1166666666667 #,-79.1167,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 16:00,45358.91667,-70 #,-70,0%,0,97%,9667,SN1001000878868,0.229262629
3/7/2024 16:00,45358.91667,-84 #,-84,0%,0,100%,10000,SN1001000878866,0.072632366
3/7/2024 17:00,45358.95833,-82.0666666666667 #,-82.0667,0%,0,100%,10000,SN1001000878869,0.322195995
3/7/2024 17:00,45358.95833,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
3/7/2024 17:00,45358.95833,-79 #,-79,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 17:00,45358.95833,-84.1166666666667 #,-84.1167,0%,0,100%,10000,SN1001000878866,0.072632366
3/7/2024 18:00,45359,-82.0666666666667 #,-82.0667,0%,0,100%,10000,SN1001000878869,0.322195995
3/7/2024 18:00,45359,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
3/7/2024 18:00,45359,-78.7333333333333 #,-78.7333,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 18:00,45359,-84 #,-84,0%,0,100%,10000,SN1001000878866,0.072632366
3/7/2024 19:00,45359.04167,-81.9833333333333 #,-81.9833,0%,0,100%,10000,SN1001000878869,0.322195995
3/7/2024 19:00,45359.04167,-78.85 #,-78.85,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 19:00,45359.04167,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
3/7/2024 19:00,45359.04167,-83.9833333333333 #,-83.9833,0%,0,100%,10000,SN1001000878866,0.072632366
3/7/2024 20:00,45359.08333,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
3/7/2024 20:00,45359.08333,-78.15 #,-78.15,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 20:00,45359.08333,-84 #,-84,0%,0,100%,10000,SN1001000878866,0.072632366
3/7/2024 20:00,45359.08333,-81.7833333333333 #,-81.7833,0%,0,100%,10000,SN1001000878869,0.322195995
3/7/2024 21:00,45359.125,-84 #,-84,0%,0,100%,10000,SN1001000878866,0.072632366
3/7/2024 21:00,45359.125,-81.2833333333333 #,-81.2833,0%,0,100%,10000,SN1001000878869,0.322195995
3/7/2024 21:00,45359.125,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
3/7/2024 21:00,45359.125,-78 #,-78,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 22:00,45359.16667,-77.8666666666667 #,-77.8667,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 22:00,45359.16667,-84 #,-84,0%,0,100%,10000,SN1001000878866,0.072632366
3/7/2024 22:00,45359.16667,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
3/7/2024 22:00,45359.16667,-81.3 #,-81.3,0%,0,100%,10000,SN1001000878869,0.322195995
3/7/2024 23:00,45359.20833,-77.7666666666667 #,-77.7667,0%,0,100%,10000,SN1001000878865,0.05685216
3/7/2024 23:00,45359.20833,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
3/7/2024 23:00,45359.20833,-81 #,-81,0%,0,100%,10000,SN1001000878869,0.322195995
3/7/2024 23:00,45359.20833,-84 #,-84,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 0:00,45359.25,-83.5 #,-83.5,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 0:00,45359.25,-77.7833333333333 #,-77.7833,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 0:00,45359.25,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
