datetime (UTC),"coordinates (lat,lon)",temperature (degC),relative_humidity (0-1),wind_speed (m/s),surface_pressure (Pa),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),snow_depth (mm of water equivalent),absolute_humidity (g/m^3),rainfall (mm)
3/7/2024 9:00,"(42.089797, -76.807734)",2.83,0.92,4.56,96661.99,0.0,0.0,0.0,5.410047350428761,0.0
3/7/2024 10:00,"(42.089797, -76.807734)",3.15,0.91,4.14,96727.75,0.0,0.0,0.0,5.467699271432568,0.0
3/7/2024 11:00,"(42.089797, -76.807734)",3.38,0.9,4.0,96769.72,0.0,0.0,0.0,5.491747556939063,0.0
3/7/2024 12:00,"(42.089797, -76.807734)",4.5,0.85,4.05,96811.59,0.0,0.0,0.0,5.589240110209809,0.0
3/7/2024 13:00,"(42.089797, -76.807734)",5.53,0.79,4.03,96809.62,0.0,0.0,0.0,5.560976363570061,0.0
3/7/2024 14:00,"(42.089797, -76.807734)",6.64,0.74,3.97,96787.7,0.0,0.0,0.0,5.602235363176514,0.0
3/7/2024 15:00,"(42.089797, -76.807734)",7.98,0.68,3.91,96819.56,0.0,0.0,0.0,5.615746389580141,0.0
3/7/2024 16:00,"(42.089797, -76.807734)",8.38,0.65,3.79,96823.6,0.0,0.0,0.0,5.508144829291771,0.0
3/7/2024 17:00,"(42.089797, -76.807734)",7.73,0.64,2.55,96882.75,0.0,0.0,0.0,5.200724529867836,0.0
3/7/2024 18:00,"(42.089797, -76.807734)",6.19,0.7,2.69,96948.02,0.0,0.0,0.0,5.145761854006682,0.0
3/7/2024 19:00,"(42.089797, -76.807734)",4.74,0.75,3.14,97011.41,0.0,0.0,0.0,5.010864000953683,0.0
3/7/2024 20:00,"(42.089797, -76.807734)",3.67,0.79,3.05,97095.56,0.0,0.0,0.0,4.915080907325237,0.0
3/7/2024 21:00,"(42.089797, -76.807734)",2.19,0.85,2.66,97141.3,0.0,0.0,0.0,4.786925644423084,0.0
3/7/2024 22:00,"(42.089797, -76.807734)",1.59,0.88,2.38,97155.74,0.0,0.0,0.0,4.758021910118988,0.0
3/7/2024 23:00,"(42.089797, -76.807734)",1.09,0.9,2.05,97177.05,0.0,0.0,0.0,4.702976833739945,0.0
3/8/2024 0:00,"(42.089797, -76.807734)",-0.32,0.93,1.65,97168.6,0.0,0.0,0.0,4.41063412826436,0.0
3/8/2024 1:00,"(42.089797, -76.807734)",-1.24,0.93,1.27,97200.48,0.0,0.0,0.0,4.137626596389766,0.0
3/8/2024 2:00,"(42.089797, -76.807734)",-0.36,0.91,0.71,97212.18,0.0,0.0,0.0,4.303853326300697,0.0
3/8/2024 3:00,"(42.089797, -76.807734)",-1.7,0.92,1.13,97201.41,0.0,0.0,0.0,3.9636912455661353,0.0
3/8/2024 4:00,"(42.089797, -76.807734)",-1.25,0.91,1.29,97204.55,0.0,0.0,0.0,4.045823375207142,0.0
3/8/2024 5:00,"(42.089797, -76.807734)",-1.73,0.93,1.53,97285.47,0.0,0.0,0.0,3.998368748567141,0.0
3/8/2024 6:00,"(42.089797, -76.807734)",-1.74,0.94,1.44,97325.28,0.0,0.0,0.0,4.038533281099031,0.0
3/8/2024 7:00,"(42.089797, -76.807734)",-1.49,0.95,2.08,97334.52,0.0,0.0,0.0,4.15349550575619,0.0
3/8/2024 8:00,"(42.089797, -76.807734)",-0.01,0.89,1.9,97350.44,0.0,0.0,0.0,4.312309438976703,0.0
3/8/2024 9:00,"(42.089797, -76.807734)",2.97,0.75,2.26,97374.53,0.0,0.0,0.0,4.452133824380919,0.0
